score,text
positive,Yes It is definitely one of my top ten films I have made the point in the past that if an alien came down to earth and didnt know what a film was that this would be what we should show them It is a masterpiece in storytelling and general entertainment It is split into eight short chapters each with their own strengths but none which manage to disappoint You can jump in at any point during the film and be entertained as it does not focus very heavily on story but rather portrays the perfect mix of action adventure comedy crime drama and lots lots more It has a universal appeal and had me personally on the edge of my seat watching it due to its phenomenal tension and suspense I could watch it 100 more times and would not get bored Ive said it before and Ill say it again: This is the perfect film
positive,Yes I loved THE DARK KNIGHT. It is a moody tale about the struggle of good and evil and everything in between. I want to go on and discuss particular scenes that I found to be powerful but I really think you need to go into it as fresh as possible. Surprisingly the trailers which seem to give too much away dont really come close to revealing what happens throughout. But what does happen is just as enticing as the brief glimpse during the preview. One complaint some may have is the length. It is around two and a half hours but frankly I didnt feel it. In fact a friend of mine who attended the screening with me looked at me after the end creditsŠ—_ he wanted to watch it again right then and there. I guess with any movie you should try and not build it up too much because there is always someone who wont like a certain film no matter what it is. Yet in the end Heath Ledgers Joker Aaron Ecklands Harvey Dent and a phenomenal vision realized by Christopher Nolan makes TDK easily one of the years best.
positive,Yes Absolutely my nr 1 movie Quotes tension a nice story and last of all the actors Samuel L Jackson John Travolta Harvey Keitel & Bruce Willis Those four actors make the movie like its a shot from an ordinary day off a gangsters life Marvelous
positive,Yeah must admit. This is my fav movie of all times. If Tarantinos Reservoir Dogs was amazingly shocking this time is maturely shocking. It is just that way Tarantino drives the audience that leaves me thinking. Samuel L. Jackson John Travolta and Uma Thurman just rule. The scene where the last two dance at the Jack Rabitt Slim is one of the most simple and yet beautiful dance scenes in time. So does the restaurant scene with Honey Bunny and Pumpkin...its a total standout its that way that Samuel Jackson treats the situation...Really a blow-out a must see. All over the movie the audience keep thinking on what if... What if I shoot right here right now Yeah what Its just the way Tarantino plays with the wild emotions hiding into ourselves...He just blows peoples minds With this movie Tarantino has to be accepted as tha master he is both directing and writing.  and though I like Reservoir Dogs more Pulp Fiction is not too far away of being as great as that. And I must say too that Pulp Fiction should have won the Oscar that year instead of Forrest Gump. 
positive,wrote this elsewhere copying cause i dont feel like doing a new one ill start this by saying that this may not be for everyone metacritic currently has it at a 75100 which is understandable the movie can probably be best described as the campy james bond type spy movie for the modern age it takes the risks that no bond movie will probably ever take again not since the disaster that die another day was they make no attempt to hide this and halfway through the movie make it pretty clear that its what the film is going for without breaking the fourth wall until itkind of does break the fourth wall a little to enjoy the film youre gonna have to turn off whatever part of your brain governs rationality and skepticism because the tech and gadgets used here will cause your eyes to roll if youre expecting this to be a skyfall style spy movie seeing posters for this did nothing for me when i first heard about it then the trailers grabbed my attention what i wasnt expecting was just how violent it was going to be the action sequences are over the top to the point where the agents are superhuman again youre gonna have to turn your brain off a little to enjoy it if youre incapable of doing so just dont bother seeing it if you can i think youll enjoy it most of the theater who got advanced screening tickets applauded quite loudly twice they applauded the first credit screen then partway through it there was a bonus scene more applause at the end im not quite sure how colin firth has never been cast as a gentleman secret agent before he absolutely nails it samuel l jackson is actually pretty delightful as the villain with a disdain of violence not exactly a spoiler as this detail of his character was in trailers micheal caine is actually a touch disappointing in his role i feel like they really underutilized his talents wasnt expecting mark hamill to be in it but was pleased with his appearance and his british accent was completely believable if i hadnt seen pictures of hamill prepping for star wars 7 i wouldve thought he was just some random british middle aged actor mark strong was solid in his role but nothing too fantastic the big surprise to me was taron egerton who i had to look up ill admit the lead of the film the guy who kind of looks like josh hutcherson it honestly is quite impressive to see him go from this british bruv to towards the end of the movie a sophisticated secret agent with honestly the charm and wit of james bond the transformation is believable and impressive looking back on the movie that may be my favorite thing about it and given that hes only24 i think? i dont think its completely absurd to consider him to eventually replace daniel craig maybe hes not the best choice but hes made my list might not grow out of his boyish face but if he does he should get a call anyway aside from the individual performances the movies plot is completely ludicrous in a fun way the violence is over stylized but the humor is quite fun after seeing all the comedies ive seen certain jokes are just predictable and kingsman has its share but some jokes are quite surprising tldr summary intentionally campy a lot of fun if you dont expect a serious spy film quite funny super violent at times i can only really compare it to 300actually no this is more like a spy version of kickass really but its not quite as gory more entertaining than most movies i saw last year if theres a sequel i will watch it also sophie cookson may just be my new celebrity crush and also my ticket was free through the advanced screening service im signed up for but when i find time im gonna pay to see it againin 13 ****ing days edit back to the kick ass comparison i think if this is well enough received as it was for me and the friend i took to see it it may enjoy the same cult classic status luckily forit it will come way before the big blockbusters of 2015 will hit theaters may give it enough time to gain that appreciation in my personal opinion its better than kick ass
positive,writerdirector richard linklater is no doubt one filmmaker who has not received the spotlight he deserves in the hood of hollywood he has directed such wondrous films as before sunrise before sunset before midnight school of rock dazed & confused and much more however this mid 40s boy is about to get the attention he deserves for his marvelous work in writing & directing the comingofage flick boyhood and when i say comingofage i really mean it boyhood took 12 years to film it captures the life of the young protagonist mason jr from the time he is 5 years old all the way to he is 17 it was filmed in bits and pieces in a 12 year span linklater formulates a viable authenticity in the life of a child to teenager family life insecurity identification stability discovery etc mason jr is a child of divorce and linklater develops mason jr not so much as a victim of an unstable family life but a young survivor who still maintains his noble dignity throughout lifes experiences ellar coltranes astounding performance as mason jr from child to teen is of oscar caliber ethan hawke and patricia arquette also delivered excellent work as masons divorce parents mason sr and olivia linklaters reallife daughter lorelei linklater shows that the linklater talent is being passed on quite splendidly with her solid performance as mason jrs sister samantha this is no childs play boyhood is one of the best movies of 2014 ***** excellent
positive,Writer/director Quentin Tarantino demonstrates his encyclopedic grasp of filmmaking by bending chopping and deconstructing narrative while keeping a groovy beat Brilliant and brutal funny and exhilarating jaw-droppingly cruel and disarmingly sweet All the details are executed to perfection Ironies abound in the smallest situations The experience overall is like laughing down a gun barrel a little bit tiring a lot sick and maybe far too perverse for less jaded moviegoers The movie resurrects not only an aging genre but also a few careers
positive,Writer and director Quentin Tarantinos Pulp Fiction qualified as a revelation when it came out in 1994 and time has not diminished the impact of this landmark film This crime melodrama about a pair of philosophical hit men a treacherous boxer a cocaine-snorting drug dealers wife and a cleaner shifts back and forth between tragic drama and helium comedy with irony galore If Tarantino had not made any other movie he would still have been assured a niche in cinematic history with Pulp Fiction He juggles four complicated plot lines about an eccentric gallery of characters who are all low-lives in one way of another living on the fringe of society whether they be murderers thieves narcotics dealers sexual perverts or small-time pistol-wielding crooks Pulp Fiction defies chronological time because Tarantino stages everything out of order This fractured form of storytelling might alienate those spectators accustomed to chronological order Not one minute of this marathon two hour and forty-five minute audacity is dull Ultimately Tarantino and co-scenarist Roger Avary received the Oscar for Best Original Screenplay while the Academy of Motion Picture Arts and Sciences nominated Tarantino for Best Director the film itself for Best Picture John Travolta for Best Actor Sally Menke for Best Editing and Samuel L Jackson and Uma Thurman respectively for Best Supporting Male and Female roles Over ten years later Pulp Fiction is still outstanding largely because it is such a timeless tale of amoral mayhem Tarantinos quotable dialogue his articulate underworld thugs and his archly sardonic take on life retains its vivacity Inspite of the scrambled up stories Tarantino plots everything very carefully foreshadowing situations and predicaments with characters facing the consequences of their actions Tarantino inspired a generation of movie makers but none of them have come close to eclipsing his masterpiece Pulp Fiction opens in a restaurant with Ringo/Pumpkin Tim Roth of Reservoir Dogs discussing the various problems involved in the art of robbery with his girlfriend Yolanda/Honey Bunny Amanda Plummer of The Prophecyand their impulsive decision to rob the restaurant Colorful credits follow and Tarantino introduces us to Jules Samuel L Jackson of Shaft and Vincent John Travolta of Saturday Night Fever as Vincent talks about the difference between what hamburgers are called in Amsterdam A quarter-pounder is called a Royale with cheese and most food is referred to using the metric system They arrive at an apartment where they are supposed to pick up an attach’© case from four twentysomething guys as a part of a deal that went south Jules questions Brett Frank Whaley of The Doors about the guys questionable business practices with Jules boss Marsellus Wallace All the dumbfounded Brett can utter after he witnesses Jules shoot one of his friends on a sofa in cold blood is the word What Jules warns him not to say what again Nevertheless Brett says What five times and Jules puts a bullet in his shoulder Vincent and Jules retrieve the mysterious suitcase but not before another guy bursts from the bathroom with a cannon like revolver and fires indiscriminately at them The guy misses each time and Jules and Vincent blow him away and leave with the case and another bystander Marvin Phil LaMarr of Old Dogs after they kill Brett
positive,Wow What can we say about this film. It is one of the best of all-time that is no question. It has altered my perceptions in a lot of ways. I had not read the books so I felt that I could safely watch the film without nit-picking at all the details the movies had left out. I found some people doing that but even those people said it was still pretty true to the story. Knowing that and also getting the thrill of experiencing the Lord of the Rings for the first time was unbelievable. I had watched The Fellowship of the Ring for the first time on video and I was immediatley hooked. When Two Towers came out I had to see it the first day out as well as REturn of the King. I also did some research on Tolkien after that and found some reasons of why he wrote it as well. Knowing that he wrote it because he wanted to and not just to make a point was astounding to me He just loved to create characters drama and just plain good storyline. Noone does that anymore Yet I was truly inspired. I have never been so inspired by a movie. It literally took my breath away I believe we are all living in the Lord of the Rings. Whatever your adventure is wherever your heart is at whatever challenges you face we can all learn from Lord of the Rings. There is always hope.
positive,wow what can be said about interstellar that hasnt been said before? so ill just share my thoughts and feelings about this movie the nolan brothers have hit yet another homerun with this intergalactic masterpiece the story is about a single father whos trying to raise his children and provide for them and his father in law the world is sick very sick in fact cropses are dying and harvests are lost farmers have become the worlds most important job but soon humanity or at least a very small part of it realizes earth can not be saved and that they have to turn to the stars to find salvation matthew mcconaughey has come a long way since his roles as a piece of mancandy in chickflicks and he proves it yet again here he plays his role as cooper perfectly the heartache he has to go through while making an impossible choice really pulls you into the story saving humanity or seeing his children once more anne hathaway fits the role of brand well shes not sexualized as she was in the dark knight rises which gives her the chance to win you over with her acting and win you over she will michael caine is michael caine so you know what to expect there greatness jessica chastain is wonderful as murph shes so strong yet so fragile and its just heartbreaking to watch her emotional journey cassey affleck takes on the role of murphs brother and does a great job theres one more surprise appearance by a big actor which i wont spoil for you you can already tell the acting jobs are top notch in this picture and they have to be the story touches on some existential themes which are difficult to comprehend you have to understand and feel the emotions the characters are going through to grasp the purpose of the story fully visually interstellar impresses with actual physicists working on the movie you get the most accurate pictures of unearthly events the visual of black hole gargantua is actually being used in a scientific publication the other planets the team visit are equally stunning as they are interesting without going in too much detail the planets feature things we all know but they are portrayed in a way youve never seen before now let me take the time to gush over the music in this film you may think the music isnt as important as the acting or the story but its with music this good you understand it is actually a character in the movie the music is gorgeous its epic when it needs to be and emotional when the story requires it i found myself nearly in tears over the music when i didnt expect it hans zimmer proves he can create delicate and fragile pieces of music as well as epic dark and heavy soundtracks like he has done for the dark knight trilogy so in summary interstellar isnt just a space movie it isnt a science fiction movie at heart its a movie about humanity and about saving it and not just in a literal sense its about finding our own humanity its about family its about love because that is the main theme which drives the characters its the core foundation for all their actions and choices but above all this film is about hope its about believing in ourselves and the power we can muster when we fight for our loved ones interstellar is one of the most amazing movies ive ever had the privilege to see please go see this film
positive,Wow what a movie Its not only the best of The Lord of the Rings trilogy it also is one of the best movies of the past couple of years. The Lord of the Rings: The Return of the King is a totally spectacular movie. It has some of the most amazing battle scenes in movie history. The word spectacular isnt good enough to describe it its breathtaking epic and emotional involving. Who didnt wanted to pick up a sword and shield and charge with Aragorn towards a large number of Orcs for honor and glory Even though the special effects are far from the best ever Peter Jackson is a master in mixing the special effect with real life action. The use of it never feels overdone and the result is spectacular as well as believable. I think lots of people were worried after The Lord of the Rings: The Two Towers after seeing the battle of Helms Deep. How was Peter Jackson ever going to top that great battle Well with The Lord of the Rings: The Return of the King he topped it alright The battle for Middle Earth is something youve never seen before. Greatest moment was when the riders of Rohan charged it was really a moment in which you felt the true meaning of fighting and dying with honor. Also great moment during the immensely large battle were the fights against the oliphaunts just when you thought the battle was over those large creatures appeared Really great moment. The characters are possibly at their best in this movie. No characters need introductions anymore and we get to see the deepest of their emotions in this movie even Gollums Still the movie is not really deserving to be third in the top 250 here on IMDb.com. Its also not really deserving all those Oscars it won. Like all The Lord of the Rings movies its great spectacular and absolutely breathtaking at times but not classic masterpieces in my book. Also the movie is far from flawless. Once again the editing is just poor at times and what was with the ending Couldnt they just think of one ending I expected the end credits to start rolling multiple times during the ending but it just went on and on. Despite some of those flaws it still is an excellent movie with some unforgettable battles sequences. Truly a wonderful ending for one of the greatest movie trilogies in history. 10/10 http://bobafett1138.blogspot.com/
positive,Wow what a film this baby is and yes this film is one of the most brilliant films ever written by man and i for one was literally stoked from the start so as a future film maker i hope to one day make a film like this because if i do i will definitely die a happier man. the film was just awesome in every sense and i really loved the plot it had some great cliff hangers and great and classic scenes where the main character became himself more and you just fell in love with him so on that basis i would class this film as one of the all time greats and if you havent seen it yet go out and buy it because you wont be disappointed at all believe you me.
